1	20	20	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
2	20	22	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
3	20	24	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
4	20	26	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
5	20	28	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
6	20	30	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
7	28	28	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
8	28	30	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
9	28	32	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
10	28	34	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
11	28	36	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
12	50	58	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
13	50	62	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
14	50	64	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
15	50	66	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
16	50	68	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
17	50	70	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
18	50	72	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
19	50	74	0.0	0.0	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	sph
20	64	88	12.35730678	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
21	64	90	15.6498246393	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
22	64	92	17.7226584171	0.3	(0, 0, 0, 0, 0)	(0, 0, 0, 0, 0)	def
